CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V3;V4;V6;V7;V8;V9;V10;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA;V2_01;V21_01;V22_01;V2_02;V21_02;V22_02;V2_03;V21_03;V22_03;V5_01;V5_02;V5_03;V11_01;V11_02
TQRMNORTRHKOKTCDEGKDB00871788;3;2025;14;1;30;1500000;375000;1;144;2;2;2;0;2;2;2;0;0;0;0;7;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1;;2;2;;4;1;1;1;;1;1;1;1;2;1;2;2;0;98;0;0;0;102;0;2;2;0;2;2;0;2;2;1;2;2;2;2
TQRMNOQPVHMOKUCDEGKDB00889246;3;2025;14;1;30;0;0;1;0;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;3;0;3;1;;3;2;;4;1;2;1;;1;2;1;2;2;2;2;1;0;98;0;0;0;122;1;2;1;2;2;2;1;2;2;2;2;2;2;2
TQRMNOQPWHMOKUCDEGKDB00890694;3;2025;14;1;30;1650000;330000;1;170;3;2;2;0;1;1;1;1;1;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;5;2;3;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;99;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOQPXHMOKUCDEGKDB00892134;3;2025;14;1;30;0;0;1;0;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;;2;1;;4;2;1;1;;1;1;1;1;2;2;2;1;0;3;0;0;0;95;2;2;2;1;2;2;2;2;2;2;2;2;2;2
TQRMNORRVHMOKUCDEGKDB00888960;3;2025;14;1;30;2124000;354000;1;186;2;2;2;0;1;1;1;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;0;6;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;98;0;2;2;0;2;2;0;2;2;1;2;2;1;2
TQRMNORRWHMOKUCDEGKDB00890445;3;2025;14;1;30;980000;196000;1;250;4;4;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;5;0;5;1;;4;1;;4;1;1;1;;1;2;1;1;2;2;2;2;0;4;0;0;0;108;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNORSPHMOKUCDEGKDB00892135;3;2025;14;1;30;0;0;1;0;3;1;2;0;2;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;96;0;0;0;79;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNORSVHMOKUCDEGKDB00889321;3;2025;14;1;30;380000;190000;1;110;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;79;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNORVWHMOKUCDEGKDB00891107;3;2025;14;1;30;0;0;1;0;5;3;2;0;1;2;1;2;0;1;1;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;107;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOPVSHKMKUCDEGKDB00871035;3;2025;14;2;30;2000000;666666.67;1;164;2;2;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;3;0;3;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;3;0;0;0;89;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOPVUHKMKUCDEGKDB00876167;3;2025;14;1;30;800000;800000;1;222;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;121;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOPVVHKMKUCDEGKDB00876957;3;2025;14;1;30;0;0;1;0;4;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;118;1;1;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOPVWHKMKUCDEGKDB00873804;3;2025;14;2;30;1500000;750000;1;152;4;1;2;0;1;1;1;2;0;2;0;3;;1;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;114;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOQTQHKMKUCDEGKDB00888513;3;2025;14;1;30;1600000;1600000;1;156;1;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;118;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOQTRHKMKUCDEGKDB00873474;3;2025;14;1;30;380000;380000;1;130;2;1;2;0;2;2;2;0;0;0;0;3;;1;;1;2;1;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;1;0;1;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;103;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOQTSHKMKUCDEGKDB00868353;3;2025;14;1;30;310000;310000;1;154;3;1;2;0;2;2;2;0;0;0;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;103;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOQTXHKMKUCDEGKDB00870914;3;2025;14;1;30;3050000;610000;1;182;5;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;5;2;3;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;2;0;0;0;98;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOPYWHKLLLCDEGKDB00873101;3;2025;14;1;30;400000;133333.33;1;160;3;1;2;0;1;1;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;118;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOPYYHKLLLCDEGKDB00869594;3;2025;14;1;30;2000000;1000000;1;124;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;96;0;98;0;0;0;88;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNOQPPHKLLLCDEGKDB00867526;3;2025;14;1;30;0;0;1;0;5;1;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;3;1;2;1;;5;1;;4;1;1;1;;1;1;1;1;2;2;2;96;0;1;2;0;0;100;0;2;2;0;2;2;0;2;2;2;2;2;2;2
TQRMNORTSHKLLLCDEGKDB00870863;3;2025;14;1;30;1100000;550000;1;223;6;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;6;1;;4;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;117;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNORUYHKLLLCDEGKDB00872454;3;2025;14;1;30;0;0;1;0;4;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;127;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNORVPHKLLLCDEGKDB00869595;3;2025;14;1;30;800000;800000;1;97;4;1;2;0;1;1;1;2;0;2;0;6;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;68;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOPVRHLKKSCDEGKDB00883582;3;2025;14;1;30;900000;900000;1;83;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;75;1;2;2;2;2;2;2;2;2;2;2;2;2;2
